complaint_text,category,severity,recommended_priority
"Walang tubig sa amin simula kahapon pa",Water,High,1
"May butas na malaki sa kalsada malapit sa tindahan",Road,Medium,2
"Sobrang ingay ng karaoke ng kapitbahay every night",Noise,Low,3
"May sunog sa kanto! Mabilis!",Fire,Critical,1
"Nawalan ng kuryente buong street namin",Electricity,High,1
"Hindi kinukuha yung basura namin for 2 weeks na",Garbage,Medium,2
"May baha sa street namin tuwing umuulan",Flood,High,1
"Nakawan nanaman sa may eskinita kagabi",Crime,High,1
"Sira yung ilaw sa kanto madilim na",Street Light,Medium,2
"May nagsusugal sa likod ng basketball court",Illegal Activity,Medium,2
"Ang baho ng kanal dito sa tabi namin",Drainage,Medium,2
"Brownout na naman walang abiso",Electricity,High,1
"May nag-away dito may dalang itak",Crime,Critical,1
"Yung puno sa kanto parang babagsak na",Tree/Environment,Medium,2
"Walang tubig for 3 days na kami",Water,Critical,1
"Sobrang traffic sa kalye namin dahil sa nag-park",Traffic,Low,3
"May nakita akong suspicious na tao sa paligid",Crime,Medium,2
"Hindi ko alam kung saan mag-report ng stray dogs",Animals,Low,3
"May basag na bote sa playground ng mga bata",Safety,Medium,2
"Tumatagos yung tubig sa bubong namin pag umuulan",Housing,Low,3
"May nag-vandal sa pader ng barangay hall",Vandalism,Low,3
"Yung ilaw sa kalye laging nakapatay",Street Light,Medium,2
"May sunog na basura sa likod bahay ng kapitbahay",Fire,High,1
"Sobrang ingay ng construction site 24/7",Noise,Medium,2
"May taong naglalasing sa kanto palagi",Public Disturbance,Low,3
"Walang kuryente mga 6 hours na",Electricity,High,1
"May nakita akong bata na nag-iisa sa kalsada",Child Welfare,High,1
"Sira yung bakal sa tulay delikado",Infrastructure,High,1
"May nag-iitsa ng droga dito sa tabi namin",Illegal Activity,Critical,1
"Hindi dumadaan yung garbage truck sa lugar namin",Garbage,Medium,2
"May putok ng tubig sa kanto sayang",Water,Medium,2
"Sobrang daming lamok dahil sa stagnant water",Health,Medium,2
"May nanloloko ng senior citizen dito",Crime,High,1
"Yung poste parang babagsak na",Infrastructure,High,1
"May nag-aaway na mag-asawa palagi ingay",Domestic,Medium,2
"Walang signal ng internet sa area namin",Utilities,Low,3
"May namatay na hayop sa kanal ang baho",Health,High,1
"Sobrang dilim dito sa eskinita takot mga tao",Street Light,High,1
"May nag-hold up sa sakayan kanina",Crime,Critical,1
"Yung drainage namin puno ng basura",Drainage,Medium,2
"May nakita akong bata na hindi pumasok school",Child Welfare,Medium,2
"Sobrang init walang puno sa lugar namin",Environment,Low,3
"May nagyoyosi sa loob ng covered court bawal yun",Public Disturbance,Low,3
"Nag-leak yung tubig sa kalye araw-araw",Water,Medium,2
"May nagtatapon ng basura sa bakanteng lote",Garbage,Medium,2
"Sobrang liit ng daanan para sa ambulansya",Infrastructure,Medium,2
"May nakita kong bata na minamaltrato",Child Welfare,Critical,1
"Yung barangay tanod hindi dumadating pag may tawag",Service,Medium,2
"May nag-convert ng bahay into boarding house walang permit",Zoning,Low,3
"Sobrang bilis ng mga sasakyan sa village namin",Traffic,Medium,2
"May nasiraan ng motor sa gitna ng kalsada",Traffic,Low,3
"Walang mainom na tubig para sa mga bata",Water,Critical,1
